,Unnamed: 0,Modulgruppe,Modul,Kürzel,Voraussetzung,Semester
0,0,Grundlagen: Mathematik 1,Lineare Algebra 1,lalg1,,11.0
1,1,Grundlagen: Mathematik 1,Lineare Algebra 2,lalg2,,4.0
2,2,Grundlagen: Mathematik 1,Informatik (M),infM,,4.0
3,3,Grundlagen: Mathematik 1,Wahrscheinlichkeitstheorie und Statistik,wst,,4.0
4,4,Grundlagen: Mathematik 1,Datenanalyse (Machine Learning),dan,,4.0
5,5,Grundlagen: Mathematik 2,Analysis 1,an1,,12.0
6,6,Grundlagen: Mathematik 2,Analysis 2,an2,,5.0
7,7,Grundlagen: Mathematik 2,Differenzialgleichungen (SG M),dglM,,5.0
8,8,Grundlagen: Mathematik 2,Mehrdimensionale Analysis,man,,5.0
9,9,Grundlagen: Mathematik 2,Numerik (Computational Mathematics),num,,5.0
10,10,"Grundlagen:
Naturwissenschaften",Wärme und Strahlung,wus,,5.0
11,11,"Grundlagen:
Naturwissenschaften",Grundkonzepte der Mechanik,mechM,,5.0
12,12,"Grundlagen:
Naturwissenschaften",Elektromagnetismus,elmag,,5.0
13,13,"Grundlagen:
Naturwissenschaften",Schwingungen und Wellen,sww,,5.0
14,14,"Grundlagen:
Naturwissenschaften",Chemie 1,ch1,,11.0
15,15,"Grundlagen:
Naturwissenschaften",Workshop Chemie,wch,bb,1.0
16,16,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",Werkstoffe 1,werk1,,
17,17,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",Werkstoffe 2,werk2,,5.0
18,18,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",Werkstoffe 3,werk3,,5.0
19,19,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",Herstellung und Konstruktion,hkon,,11.0
20,20,"Grundlagen: Werkstoffe,
Fertigung, Konstruktion",Maschinenelemente,mel,,5.0
21,21,Grundlagen: Labor,Labor Chemie/Konstruktion,chkL,,7.0
22,22,Grundlagen: Labor,Labor Physik & Werkstoffe,phwkL,,7.0
23,23,Grundlagen: Labor,Mess- und Sensortechnik,mst,,7.0
24,24,Grundlagen: Labor,FEM Simulation,fems,,7.0
25,25,Grundlagen: Labor,CFD Simulation,cfds,,7.0
26,26,Grundlagen: Labor,Workshop Werkstoffe Konstruktion,wkwkL,,3.0
27,27,Grundlagen: Technische Mechanik,Statik,stk,,6.0
28,28,Grundlagen: Technische Mechanik,Elastostatik,elstk,,6.0
29,29,Grundlagen: Technische Mechanik,Kinematik und Kinetik,kmk,,6.0
30,30,Grundlagen: Technische Mechanik,Maschinendynamik,md,,6.0
31,31,Grundlagen: Technische Mechanik,Dimensionierung,dms,,6.0
32,32,"Grundlagen: Thermo-/Fluid-
Energietechnik",Thermodynamik,thdM,,6.0
33,33,"Grundlagen: Thermo-/Fluid-
Energietechnik",Fluidmechanik,flmM,,6.0
34,34,"Grundlagen: Thermo-/Fluid-
Energietechnik",Energietechnische Systeme,egts,,6.0
35,35,"Grundlagen: Elektrische
Energietechnik",Elektrotechnik (M),eltM,,6.0
36,36,"Grundlagen: Elektrische
Energietechnik",Antriebstechnik mit Labor,atL,,6.0
37,37,"Grundlagen: Elektrische
Energietechnik",Regelungstechnik mit Labor,rtL,,6.0
38,38,Fachvertiefung: Maschinenbau,Wärmeübertragung,wueb,,6.0
39,39,Fachvertiefung: Maschinenbau,Advanced Experimental Methods,aem,,6.0
40,40,Fachvertiefung: Maschinenbau,Thermodynamik mit Labor 3,thd3,,6.0
41,41,Fachvertiefung: Maschinenbau,Fluidmechanik mit Labor 3,flm3,,6.0
42,42,Fachvertiefung: Maschinenbau,Thermodynamik mit Labor 4,thd4,,6.0
43,43,Fachvertiefung: Maschinenbau,Fluidmechanik mit Labor 4,flm4,,6.0
44,44,Fachvertiefung: Maschinenbau,Composite I - Design & Structural Me,c1d,,6.0
